entity_urn,updated_at,website,ownership_status,headcount,founding_date,twitter_follower_count,linkedin_follower_count,linkedin_url_harmonic,funding_total,highlights,employee_highlights,last_funding_type,last_funding_total,funding_stage,Sales,Engineering,Marketing,Operations,Data,Advisor,Design,Customer Success,United States,India,Israel,United Kingdom,Canada,North America,South America,Europe,Asia,Africa,Oceania,Unknown,Other,United States Sales,United States Engineering,headcount_0m,twitter_follower_count_0m,linkedin_follower_count_0m,headcount_1m,twitter_follower_count_1m,linkedin_follower_count_1m,headcount_2m,twitter_follower_count_2m,linkedin_follower_count_2m,headcount_3m,twitter_follower_count_3m,linkedin_follower_count_3m,headcount_4m,twitter_follower_count_4m,linkedin_follower_count_4m,headcount_5m,twitter_follower_count_5m,linkedin_follower_count_5m,headcount_6m,twitter_follower_count_6m,linkedin_follower_count_6m,headcount_7m,twitter_follower_count_7m,linkedin_follower_count_7m,headcount_8m,twitter_follower_count_8m,linkedin_follower_count_8m,headcount_9m,twitter_follower_count_9m,linkedin_follower_count_9m,headcount_10m,twitter_follower_count_10m,linkedin_follower_count_10m,headcount_11m,twitter_follower_count_11m,linkedin_follower_count_11m,headcount_12m,twitter_follower_count_12m,linkedin_follower_count_12m,headcount_13m,twitter_follower_count_13m,linkedin_follower_count_13m,headcount_14m,twitter_follower_count_14m,linkedin_follower_count_14m,headcount_15m,twitter_follower_count_15m,linkedin_follower_count_15m,headcount_16m,twitter_follower_count_16m,linkedin_follower_count_16m,headcount_17m,twitter_follower_count_17m,linkedin_follower_count_17m,headcount_18m,twitter_follower_count_18m,linkedin_follower_count_18m,headcount_growth_1m,linkedin_follower_growth_1m,headcount_growth_3m,linkedin_follower_growth_3m,headcount_growth_6m,linkedin_follower_growth_6m,headcount_growth_12m,linkedin_follower_growth_12m,headcount_growth_trailing_3m_0m,headcount_growth_trailing_3m_1m,headcount_growth_trailing_3m_2m,headcount_growth_trailing_3m_3m,headcount_growth_trailing_3m_4m,headcount_growth_trailing_3m_5m,headcount_growth_trailing_3m_6m,headcount_growth_trailing_3m_7m,headcount_growth_trailing_3m_8m,headcount_growth_trailing_3m_9m,headcount_growth_trailing_3m_10m,headcount_growth_trailing_3m_11m,headcount_growth_trailing_3m_12m,domain,headcount_monotonicity,headcount_concavity,linkedin_url_linkedin,united_state,india,israel,europe,canada,sales,business_development,customer_success,health,community_and_social,education,ceo_country,ceo_state,ceo_city,revenue_funding_ratio,different_ceo_city,linkedin_company,name,domain_only,country,hostname,investors,description,last_funding_date,city,gpt_sector,days_since_founding,country_multiplier,linkedin_employees,max_headcount,other_loc,years_since_founding,adjusted_headcount,sales_ratio,sales_ratio_adj,harmonic_url,owner_id,adj_hc_ratio,emps/year,years_since_funding,emps/funds_m,hc_adds_since_funding,emp_delta_6m,adj_emp_delta_6m,emp_delta_12m,adj_emp_delta_12m,investor_1,investor_2,investor_3,Prior VC Backed Founder_count,Deep Technical Background_count,Prior Exit_count,Elite Industry Experience_count,emp_highlight_count
urn:harmonic:company:4202310,2024-11-30,"{'domain': 'trybond.com', 'is_broken': False, 'url': 'https://trybond.com'}",,15,2020-01-01,,1122,https://linkedin.com/company/trybond,0.0,[],"[{'category': 'Major Tech Company Experience', 'company_urn': None, 'date_added': '2025-01-04T22:11:52Z', 'text': 'Major Tech Company Experience, Gleb L.: Mac Genius @ Apple, 10/2007-7/2015'}]",,0.0,VENTURE_UNKNOWN,0,1,1,2,2,1,0,1,8,0,0,0,0,0,0,0,0,0,0,7,7,0,1,15,,1122,16,,1122,16,,1122,18,,1121,19,,1119,18,,1024,18.0,,998,19,,992,19,,992,20,,860,21,,861,20,,733,18.0,,611,18,,611,17,,602,17,,557,15,,536,17,,538,14,,379,0.9375,1.0,0.8333333134651184,1.0008920431137085,0.8333333134651184,1.1242485046386719,0.8333333134651184,1.8363338708877563,0.8333333333333334,0.8421052631578947,0.8888888888888888,1.0,1.0,0.9473684210526315,0.9,0.9047619047619048,0.95,1.1111111111111112,1.1666666666666667,1.1764705882352942,1.0588235294117647,trybond.com,0.25,0.2727272727272727,,,,,,,1.0,5.0,0.0,,,,United States,Florida,Miami,,0.0,trybond,bond,trybond,United States,trybond,[],"The company offers a comprehensive insurance platform that provides various coverage options for personal and business needs, utilizing partnerships with major insurance carriers. It features a centralized management system for insurance options and personalized advisory services to help clients choose suitable coverage.",,New York,FinTech,1795,1.0,0.0,15.0,0.0,4.917808219178082,0.0,0.09009009009009007,,https://console.harmonic.ai/dashboard/company/4202310,149150375.0,0.85,3.050139275766017,,15.0,0.8499999999999996,-3.0,-2.55,-3.0,-2.55,0,0,0,0,0,0,0,1
urn:harmonic:company:1919666,2024-11-30,"{'domain': 'dovetail.co', 'is_broken': True, 'url': 'http://dovetail.co'}",ACQUIRED_OR_MERGED,7,2010-01-01,147,641,https://linkedin.com/company/dovetail-dental-software,0.0,[],[],BUYOUT_LBO,0.0,EXITED,3,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,4,2,0,0,7,147.0,641,8,147.0,641,8,147.0,641,8,147.0,641,8,147.0,641,8,147.0,641,8.0,147.0,641,8,147.0,641,8,147.0,641,8,147.0,641,8,147.0,641,8,147.0,635,8.0,147.0,637,8,147.0,637,8,146.0,655,8,146.0,656,8,146.0,653,9,147.0,643,9,147.0,641,0.875,1.0,0.875,1.0,0.875,1.0,0.875,1.006279468536377,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,dovetail.co,0.0,0.9090909090909091,https://linkedin.com/company/dovetail-dental-software,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,2.0,0.0,0.0,,,,,,dovetail-dental-software,Dovetail - Dental Software,dovetail,Canada,dovetail,[],"Planet DDS offers a cloud-based dental software platform that includes practice management solutions and device-agnostic imaging capabilities, utilizing AI for 2D/3D dental imaging. The software is designed to enhance operational efficiency, reduce costs, and improve security while supporting scalability for dental practices.",,Montréal,,5447,0.8,7.0,7.0,0.0,14.923287671232877,5.6000000000000005,0.5357142857142857,0.4285714285714286,https://console.harmonic.ai/dashboard/company/1919666,,0.8,0.469065540664586,,7.0,-1.5999999999999996,-1.0,-0.8,-1.0,-0.8,0,0,0,0,0,0,0,0
urn:harmonic:company:725441,2024-08-16,"{'domain': 'waldron.app', 'is_broken': True, 'url': 'https://waldron.app'}",OUT_OF_BUSINESS,7,2021-01-01,,181,https://linkedin.com/company/wilde-xyz,0.0,"[{'category': 'Venture Backed', 'company_urn': None, 'date_added': None, 'text': None}]","[{'category': 'Founder Turned Operator', 'company_urn': None, 'date_added': '2025-01-04T22:11:52Z', 'text': 'Founder Turned Operator, Ross Ingram: Founder @ Maslo, Current Operator @ Mattel, Inc.'}
 {'category': 'Prior VC Backed Founder', 'company_urn': None, 'date_added': '2025-01-04T22:11:52Z', 'text': 'Prior VC Backed Founder, Ross Ingram: Cofounder & Board Director @ Maslo, Backed By: Techstars Los Angeles Accelerator, Techstars, Right Side Capital Management, Vinaj Ventures & Innovation, Saki Georgiadis, Richard Chen, Ray Muzyka, Kamel Gazzaz, Joe Greenstein'}
 {'category': 'Major Tech Company Experience', 'company_urn': None, 'date_added': '2025-01-04T22:11:52Z', 'text': 'Major Tech Company Experience, Ross Ingram: ATAP Performer @ Google, 1/2016-12/2017'}]",PRE_SEED,0.0,VENTURE_UNKNOWN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,,181,6,,181,6,,181,6,,181,6,,181,6,,181,6.0,,181,6,,181,6,,181,6,,181,6,,181,6,,181,6.0,,181,6,,181,6,,181,6,,181,6,,181,6,,181,5,,177,1.1666666269302368,1.0,1.1666666269302368,1.0,1.1666666269302368,1.0,1.1666666269302368,1.0,1.1666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,waldron.app,0.08333333333333333,1.0,https://linkedin.com/company/wilde-xyz,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,,,,,,wilde-xyz,Wilde,waldron,United States,waldron,[],stealth mode 🥷,,New York,ERROR,1323,1.0,6.0,7.0,1.0,3.6246575342465754,5.3,0.0,0.0,https://console.harmonic.ai/dashboard/company/725441,,0.8833333333333333,1.9312169312169312,,7.0,1.7666666666666675,1.0,0.8833333333333333,1.0,0.8833333333333333,0,0,0,1,0,0,0,2
urn:harmonic:company:3609920,2024-11-12,"{'domain': 'ventture.com', 'is_broken': False, 'url': 'https://ventture.com'}",,15,2021-01-01,188,24490,https://linkedin.com/company/ventture,0.0,[],[],,0.0,VENTURE_UNKNOWN,0,1,0,2,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,6,2,0,0,15,188.0,24490,15,188.0,24490,15,188.0,24490,15,188.0,24490,16,188.0,24523,6,188.0,24635,6.0,188.0,24012,5,188.0,15212,4,188.0,13797,20,188.0,13868,20,188.0,13868,20,188.0,13868,20.0,188.0,13870,20,188.0,13870,19,188.0,13250,17,188.0,13412,16,188.0,13332,15,188.0,13145,16,188.0,13164,1.0,1.0,1.0,1.0,2.5,1.019906759262085,0.75,1.7656813859939575,1.0,0.9375,2.5,2.5,3.2,1.5,0.3,0.25,0.2,1.0,1.0,1.0526315789473684,1.1764705882352942,ventture.com,0.4166666666666667,0.6363636363636364,,,,,,,1.0,5.0,0.0,,,,,,,,0.0,ventture,Ventture,ventture,United States,ventture,[],"We build innovative tools, hand out useful information, and provide premium support to help you build a robust online business. Ventture helps you build your business the way you want. No frills, no egomaniac mission statements, no executive-speak, no line-long words that take a dictionary to decode. Ventture gives you user-friendly tools, time-saver tips, and a professional team when you want!",,Charlotte,,1411,1.0,0.0,15.0,0.0,3.8657534246575342,0.0,0.09009009009009007,,https://console.harmonic.ai/dashboard/company/3609920,141907840.0,0.85,3.880226789510985,,15.0,-0.8499999999999996,9.0,7.6499999999999995,-5.0,-4.25,0,0,0,0,0,0,0,0
urn:harmonic:company:8762211,2024-10-08,"{'domain': 'venda-search.com', 'is_broken': True, 'url': 'http://venda-search.com'}",,10,2018-01-01,,15690,https://linkedin.com/company/venda-search,0.0,[],[],,0.0,VENTURE_UNKNOWN,0,1,0,2,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,5,5,0,1,10,,15690,10,,15690,10,,15690,10,,15690,10,,15558,12,,15166,14.0,,14864,14,,13538,15,,13128,17,,12036,17,,11394,,,,10.836817343231827,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.7142857313156128,1.0555704832077026,0.9227801561355591,,1.0,1.0,0.8333333333333334,0.7142857142857143,0.7142857142857143,0.8,0.8235294117647058,0.8235294117647058,,,,,,venda-search.com,0.0,0.7142857142857143,https://linkedin.com/company/venda-search,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,venda-search,Venda Search,venda-search,United States,venda-search,[],"We are Venda Search, your trusted partner in Energy & Infrastructure recruitment. In a world where the demands on energy supplies and infrastructure are continuously increasing to sustain our growing global population, the need for skilled professionals in these sectors has never been more critical. Established in 2018, Venda Search was born from a clear vision: to confront the challenges of energy and infrastructure development head-on. Our mission is to play a pivotal role in shaping the future of the USA by connecting top-tier professionals with leading opportunities in key markets such as Power Transmission & Distribution, Transportation, Water/Wastewater, and Land Development. With our specialized expertise and extensive network, we are uniquely positioned to bridge the gap between talent and opportunity in the dynamic fields of energy and infrastructure. Whether you're a company seeking top talent or a professional looking to advance your career, Venda Search is here to empower your success.",,Houston,,2472,1.0,11.0,11.0,0.0,6.772602739726027,10.2,0.0,0.0,https://console.harmonic.ai/dashboard/company/8762211,141907840.0,0.9272727272727272,1.476537216828479,,10.0,2.953074433656958,-4.0,-3.709090909090909,-0.8368173432318269,-0.775957900087694,0,0,0,0,0,0,0,0
urn:harmonic:company:1386978,2024-11-21,"{'domain': 'frwk.com.br', 'is_broken': True, 'url': 'https://frwk.com.br'}",,401,2009-01-01,,87983,https://linkedin.com/company/frameworkdigital,0.0,[],"[{'category': 'Elite Industry Experience', 'company_urn': None, 'date_added': None, 'text': 'Elite Industry Experience, Edson Bitarães: Analista de Sistemas @ Accenture, 10/2014-12/2015'}
 {'category': 'Top University', 'company_urn': None, 'date_added': None, 'text': 'Top University, Leonardo Barros: Programa de Treinamento @ Stanford'}
 {'category': 'Seasoned Executive', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Executive, Leonardo Barros: CEO @ Framework Digital (404 Employees) 1/2009-8/2021'}
 {'category': 'Seasoned Executive', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Executive, Daniel Diniz: Chief Business Officer @ Framework Digital (404 Employees) 9/2021-3/2024'}
 {'category': 'Prior VC Backed Executive', 'company_urn': None, 'date_added': None, 'text': 'Prior VC Backed Executive, Jorge Lopes: Enterprise Solutions Architect | CTO @ Prova Fácil, Backed By: Gera Venture Capital, Confrapar'}]",,0.0,VENTURE_UNKNOWN,0,24,1,19,10,1,4,3,0,0,0,0,0,0,4,0,0,0,0,64,6,0,0,401,,87983,404,,87983,404,,87983,399,,87328,392,,86973,378,,86386,383.0,,85992,394,,84363,394,,83982,394,,83007,398,,73850,401,,65603,401.0,,65603,409,,63470,421,,60602,,,,,,,,,,,,,0.9925742745399475,1.0,1.0050125122070312,1.007500410079956,1.0469974279403687,1.023153305053711,1.0,1.3411428928375244,1.005012531328321,1.030612244897959,1.0687830687830688,1.04177545691906,0.9949238578680203,0.9593908629441624,0.9720812182741116,0.9899497487437185,0.9825436408977556,0.9825436408977556,0.9731051344743277,0.9524940617577197,,frwk.com.br,0.3333333333333333,0.6363636363636364,https://linkedin.com/company/frameworkdigital,4.0,3.0,0.0,9.0,0.0,6.0,31.0,5.0,1.0,3.0,8.0,,,,,,frameworkdigital,Framework Digital,com,Brazil,frwk,[],"The company specializes in web and mobile development projects, using technologies aligned with their mission to provide quality software development for their customers. Their main technologies include web and mobile development to meet customer needs.",,Belo Horizonte,Horizontal Software,5803,0.0,16.0,401.0,385.0,15.898630136986302,48.2,0.12448132780082986,0.37500000000000006,https://console.harmonic.ai/dashboard/company/1386978,,1.0,25.22229881095985,,401.0,50.4445976219197,18.0,18.0,0.0,0.0,0,0,0,0,0,0,1,3
urn:harmonic:company:1443055,2024-10-24,"{'domain': 'thirdsidesolutions.com', 'is_broken': True, 'url': 'http://www.thirdsidesolutions.com'}",,4,2010-01-01,343,54,https://linkedin.com/company/thirdside-solutions-llc,0.4218499999999999,[],"[{'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Ron Carson: Director of Marketing Communications & Operations @ JAGGAER (1379 Employees) 5/2009-5/2010'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Ron Carson: Director of Healthcare Solution Marketing @ Hewlett Packard Enterprise (73252 Employees) 1/2003-1/2006'}
 {'category': 'Prior VC Backed Executive', 'company_urn': None, 'date_added': None, 'text': 'Prior VC Backed Executive, Ron Carson: Vice President, Marketing @ Innovation Asset Group, '}
 {'category': 'Prior VC Backed Executive', 'company_urn': None, 'date_added': None, 'text': 'Prior VC Backed Executive, Ron Carson: Chief Marketing Officer @ Terra Dotta, Backed By: LNC Partners'}
 {'category': 'Top University', 'company_urn': None, 'date_added': None, 'text': 'Top University, Ron Carson: Executive Education - Mergers & Acquisitions @ The Wharton School'}
 {'category': 'Legacy Tech Company Experience', 'company_urn': None, 'date_added': None, 'text': 'Legacy Tech Company Experience, Ron Carson: Director of Healthcare Solution Marketing @ Hewlett Packard Enterprise, 1/2003-1/2006'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Ron Carson: Director, Healthcare Solution Marketing @ HP (124528 Employees) 1/2003-12/2006'}
 {'category': 'Seasoned Executive', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Executive, Ron Carson: Chief Marketing Officer @ Terra Dotta (113 Employees) 1/2019-12/2024'}]",,,VENTURE_UNKNOWN,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,343.0,54,5,343.0,54,5,343.0,54,5,343.0,54,6,343.0,52,6,343.0,52,6.0,343.0,50,6,343.0,49,6,343.0,49,6,343.0,47,6,343.0,45,6,343.0,44,6.0,343.0,45,6,347.0,45,6,347.0,45,6,347.0,45,6,347.0,43,6,347.0,43,6,347.0,43,0.800000011920929,1.0,0.800000011920929,1.0,0.6666666865348816,1.0800000429153442,0.6666666865348816,1.2000000476837158,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,thirdsidesolutions.com,0.0,0.8181818181818182,https://linkedin.com/company/thirdside-solutions-llc,5.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,,,,,,thirdside-solutions-llc,Thirdside,thirdsidesolutions,United States,thirdsidesolutions,[],"Thirdside specializes in providing B2B marketing services, including brand identity creation, website development, event booth design, video production, and marketing materials. They also offer Win Loss Analysis, Market Validation, and Messaging to drive revenue growth for their clients.",,Durham,Services,5410,1.0,5.0,5.0,0.0,14.821917808219178,5.0,0.4,0.4,https://console.harmonic.ai/dashboard/company/1443055,,1.0,0.26987060998151574,,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,0,0,0,0,0,0,0,3
urn:harmonic:company:1885627,2024-11-12,"{'domain': 'skillcloud.s407.sureserver.com', 'is_broken': True, 'url': 'http://skillcloud.s407.sureserver.com'}",,37,2015-01-01,21,329,https://linkedin.com/company/skillcloud-consulting-inc-,0.0,[],"[{'category': 'Seasoned Executive', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Executive, Nicole Hale: Chief Marketing Officer @ Newfire Global Partners (426 Employees) 12/2019-11/2023'}
 {'category': 'Top University', 'company_urn': None, 'date_added': None, 'text': ""Top University, Nicole Hale: Master's degree @ Harvard""}
 {'category': 'Top University', 'company_urn': None, 'date_added': None, 'text': ""Top University, Nicole Hale: Master's degree @ Harvard""}
 {'category': 'Top University', 'company_urn': None, 'date_added': None, 'text': 'Top University, Jasmine Cardichon: Bachelor of Arts - BA @ Brown'}
 {'category': 'Top University', 'company_urn': None, 'date_added': None, 'text': 'Top University, Jasmine C: Bachelor of Arts - BA @ Brown'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Nicole Hale: Director of Marketing @ Salary.com (1161 Employees) 7/2017-7/2018'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, TJ Lovell: Senior Account Executive - Enterprise Cloud & Connectivity @ Windstream (9939 Employees) 1/2016-1/2018'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, TJ Lovell: Regional Enterprise Account Director @ Nextiva (1652 Employees) 3/2018-5/2019'}]",,0.0,VENTURE_UNKNOWN,2,0,2,6,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,17,12,1,0,37,21.0,329,16,21.0,329,16,21.0,329,16,21.0,329,16,21.0,329,16,21.0,329,16.0,21.0,329,16,21.0,329,16,21.0,329,16,21.0,329,16,21.0,329,16,21.0,329,16.0,21.0,329,16,21.0,329,16,21.0,329,18,16.0,329,18,16.0,329,18,16.0,329,18,16.0,329,2.3125,1.0,2.3125,1.0,2.3125,1.0,2.3125,1.0,2.3125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,skillcloud.s407.sureserver.com,0.08333333333333333,1.0,https://linkedin.com/company/skillcloud-consulting-inc-,35.0,0.0,0.0,0.0,0.0,10.0,6.0,1.0,0.0,0.0,1.0,,,,,,skillcloud-consulting-inc-,"Skillcloud Consulting, Inc.",sureserver,United States,sureserver,[],Skillcloud Consulting offers a talent acquisition solution that leverages advanced software and streamlined team growth platforms to optimize the hiring process. The main technologies utilized include advanced talent acquisition software and streamlined team growth platforms.,,Boston,,3603,1.0,35.0,37.0,2.0,9.871232876712329,35.2,0.28409090909090906,0.2857142857142857,https://console.harmonic.ai/dashboard/company/1885627,,1.0,3.7482653344435195,,37.0,19.0,21.0,21.0,21.0,21.0,0,0,0,0,0,0,0,4
urn:harmonic:company:4463262,2024-10-26,"{'domain': 'unitalent.com.cn', 'is_broken': True, 'url': 'http://www.unitalent.com.cn'}",,1681,2007-01-01,,3314,https://linkedin.com/company/uni,0.0,[],"[{'category': 'Seasoned Executive', 'company_urn': None, 'date_added': '2025-01-04T22:11:52Z', 'text': 'Seasoned Executive, Rakesh Punya: CEO @ Uni (1685 Employees) 1/2015-1/2017'}]",,0.0,VENTURE_UNKNOWN,1,4,3,20,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,59,27,0,0,1681,,3314,1685,,3314,1685,,3314,1685,,3314,1687,,3317,1687,,3319,1689.0,,3320,1694,,3326,1695,,3329,1701,,3334,1702,,3335,,,,1316.0146887817173,,,,,,,,,,,,,,,,,,,,,0.9976261258125305,1.0,0.9976261258125305,1.0,0.9952634572982788,0.9981927871704102,1.277341365814209,,0.997626112759644,0.998814463544754,0.998814463544754,0.9976317347542925,0.9958677685950413,0.9952802359882006,0.9929453262786596,0.9952996474735605,,,,,,unitalent.com.cn,0.0,0.7142857142857143,https://linkedin.com/company/uni,105.0,35.0,4.0,534.0,15.0,42.0,40.0,19.0,78.0,34.0,841.0,,,,,,uni,Uni,com,China,unitalent,[],"The main service offered is human resources management consulting, with a focus on executive recruiting and HR solutions. The company employs research methodologies and strategic alignment techniques to enhance business performance through effective talent acquisition.",,Shanghai,Services,6508,0.0,693.0,1681.0,988.0,17.83013698630137,542.0999999999999,0.07747648035417821,0.0606060606060606,https://console.harmonic.ai/dashboard/company/4463262,,0.7822510822510821,94.27858020897358,,1681.0,188.55716041794716,-8.0,-6.258008658008657,364.98531121828273,285.5101547062497,0,0,0,0,0,0,0,0
urn:harmonic:company:4487243,2024-08-17,"{'domain': 'mama-bears.fr', 'is_broken': True, 'url': 'http://mama-bears.fr'}",,6,2019-01-01,,1859,https://linkedin.com/company/mama-bears-solos-mais-super-h%c3%a9ros,0.0,[],"[{'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Christopher Bridges: Director of Analytics and Business Intelligence @ Outlook Amusements (165 Employees) 5/2010-5/2011'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Christopher Bridges: Sr. Director of Analytics & BI @ Grindr (259 Employees) 6/2011-11/2011'}
 {'category': 'Legacy Tech Company Experience', 'company_urn': None, 'date_added': None, 'text': 'Legacy Tech Company Experience, Christopher Bridges: Sr. BI Project Manager @ Intel, 1/2005-5/2007'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Nathalie Abi Aad Moysan: Head of Marketing @ Alan Allman Associates (834 Employees) 9/2016-5/2019'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Isabelle VISSUZAINE: Sales Director France @ Rosetta Stone (276 Employees) 1/2014-11/2016'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Isabelle VISSUZAINE: SALES DIRECTOR @ FONCIA (7874 Employees) 2/2004-12/2008'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Christopher Bridges: Enterprise Director of Analytics @ About.com (183 Employees) 3/2014-3/2015'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Christopher Bridges: Director of Analytics Product Management @ INRIX (292 Employees) 7/2017-5/2018'}
 {'category': 'Seasoned Operator', 'company_urn': None, 'date_added': None, 'text': 'Seasoned Operator, Christopher Bridges: Director of Engineering @ Myspace (618 Employees) 6/2008-8/2009'}]",,0.0,VENTURE_UNKNOWN,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,6,,1859,6,,1859,6,,1859,6,,1859,6,,1859,6,,1859,6.0,,1861,6,,1854,6,,1845,6,,1839,7,,1828,8,,1752,4.675379512643176,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.9989253282546997,1.283318281173706,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,,,,,mama-bears.fr,0.0,1.0,https://linkedin.com/company/mama-bears-solos-mais-super-h%c3%a9ros,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,mama-bears-solos-mais-super-h%c3%a9ros,"Mama Bears, solos mais super héros",mama-bears,France,mama-bears,[],"Mama Bears is developing a mobile application to support single mothers in France, focusing on addressing their economic and collaborative needs. The main technologies involved in the product are centered around mobile app development and social networking functionalities.",,Boissy-l’Aillerie,,2055,0.0,3.0,6.0,3.0,5.63013698630137,2.5,0.0,0.0,https://console.harmonic.ai/dashboard/company/4487243,,0.8333333333333334,1.0656934306569343,,6.0,2.1313868613138687,0.0,0.0,1.3246204873568237,1.1038504061306864,0,0,0,0,0,0,0,0
urn:harmonic:company:4489582,2024-08-09,"{'domain': 'immersively.live', 'is_broken': True, 'url': 'http://immersively.live'}",,27,2021-01-01,,106,https://linkedin.com/company/immersive-inc,0.0,[],[],,0.0,VENTURE_UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,106,25,,106,25,,106,25,,106,25,,106,25,,106,25.0,,106,25,,106,25,,106,25,,106,25,,106,25,,106,25.0,,106,25,,106,25,,106,25,,106,,,,,,,,,,1.0800000429153442,1.0,1.0800000429153442,1.0,1.0800000429153442,1.0,1.0800000429153442,1.0,1.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,immersively.live,0.08333333333333333,1.0,https://linkedin.com/company/immersive-inc,45.0,3.0,0.0,1.0,6.0,2.0,13.0,5.0,0.0,2.0,0.0,United States,California,San Francisco,,0.0,immersive-inc,Immersive Inc.,immersively,United States,immersively,[],"We’re on a mission to help every team spark inspirations and engage with your audience. Level up your virtual events and video presence. We are building a fully distributed team and global product - a team of builders, designers, and serial entrepreneurs determined to democratize livestream production and redefine live presentations.",,Redwood City,Horizontal Software,1316,1.0,55.0,55.0,0.0,3.6054794520547944,50.699999999999996,0.03944773175542406,0.03636363636363636,https://console.harmonic.ai/dashboard/company/4489582,,0.9218181818181818,7.488601823708207,,27.0,14.977203647416413,2.0,1.8436363636363635,2.0,1.8436363636363635,0,0,0,0,0,0,0,0
